HGNC ID	Approved symbol	Status	Previous symbols	Alias symbols
HGNC:54454	H3P20	Approved		p58
HGNC:54455	H3P21	Approved		p01
HGNC:54456	H3P22	Approved		p26
HGNC:54457	H3P23	Approved		p27
HGNC:54458	H3P24	Approved		p28
HGNC:54459	H3P25	Approved		
HGNC:4770	H3P26	Approved	H3FEP, HIST1H1PS2	pH3/e
HGNC:54460	H3P27	Approved		p59
HGNC:54461	H3P28	Approved		p40
HGNC:54462	H3P29	Approved		p41
HGNC:54463	H3P30	Approved		p42
HGNC:54464	H3P31	Approved		p43
HGNC:54465	H3P32	Approved		
