input_symbol,resolved_symbol,ensembl_gene_id,source,note
CD80,CD80,ENSG00000121594,direct,
CDC25A,CDC25A,ENSG00000164045,direct,
CDC34,CDC34,ENSG00000099804,direct,
CDC42SE1,CDC42SE1,ENSG00000197622,direct,
CDCA7L,CDCA7L,ENSG00000164649,direct,
CDCA8,CDCA8,ENSG00000134690,direct,
CDH1,CDH1,ENSG00000039068,direct,
CDHR1,CDHR1,ENSG00000148600,direct,
CDKAL1,CDKAL1,ENSG00000145996,direct,
CDKN1A,CDKN1A,ENSG00000124762,direct,
CDV3,CDV3,ENSG00000091527,direct,
CEBPD,CEBPD,ENSG00000221869,direct,
CELF1,CELF1,ENSG00000149187,direct,
CENPK,CENPK,ENSG00000123219,direct,
CENPP,CENPP,ENSG00000188312;ENSG00000291348,direct,
CEP120,CEP120,ENSG00000168944,direct,
CEP135,CEP135,ENSG00000174799,direct,
CEP57L1,CEP57L1,ENSG00000183137,direct,
CERCAM,CERCAM,ENSG00000167123,direct,
CERS2,CERS2,ENSG00000143418,direct,
CFL2,CFL2,ENSG00000165410,direct,
CHD3,CHD3,ENSG00000170004,direct,
CHD4,CHD4,ENSG00000111642,direct,
CHD7,CHD7,ENSG00000171316,direct,
CHD9,CHD9,ENSG00000177200,direct,
CHIC1,CHIC1,ENSG00000204116,direct,
CHST3,CHST3,ENSG00000122863,direct,
CHST5,CHST5,ENSG00000135702,direct,
CHTOP,CHTOP,ENSG00000160679,direct,
CLCN5,CLCN5,ENSG00000171365,direct,
CLDN12,CLDN12,ENSG00000157224,direct,
CLGN,CLGN,ENSG00000153132,direct,
CLIC4,CLIC4,ENSG00000169504,direct,
CLP1,CLP1,ENSG00000172409,direct,
CMTM6,CMTM6,ENSG00000091317,direct,
CNOT2,CNOT2,ENSG00000111596,direct,
CNOT4,CNOT4,ENSG00000080802,direct,
CNOT6,CNOT6,ENSG00000113300,direct,
CNR1,CNR1,ENSG00000118432,direct,
CNTRL,CNTRL,ENSG00000119397,direct,
COIL,COIL,ENSG00000121058,direct,
COL14A1,COL14A1,ENSG00000187955,direct,
COL15A1,COL15A1,ENSG00000204291,direct,
COL19A1,COL19A1,ENSG00000082293,direct,
COL1A1,COL1A1,ENSG00000108821,direct,
COL1A2,COL1A2,ENSG00000164692,direct,
COL3A1,COL3A1,ENSG00000168542;ENSG00000291748,direct,
COL4A1,COL4A1,ENSG00000187498,direct,
COL4A2,COL4A2,ENSG00000134871,direct,
COL4A5,COL4A5,ENSG00000188153,direct,
COL5A2,COL5A2,ENSG00000204262,direct,
COQ7,COQ7,ENSG00000167186,direct,
COX18,COX18,ENSG00000163626,direct,
CPA4,CPA4,ENSG00000128510,direct,
CPEB2,CPEB2,ENSG00000137449,direct,
CPEB4,CPEB4,ENSG00000113742,direct,
CPOX,CPOX,ENSG00000080819,direct,
CPSF1,CPSF1,ENSG00000071894;ENSG00000285049,direct,
CPSF4,CPSF4,ENSG00000160917,direct,
CRB2,CRB2,ENSG00000148204,direct,
CRBN,CRBN,ENSG00000113851,direct,
CREB3L2,CREB3L2,ENSG00000182158,direct,
CREB3L4,CREB3L4,ENSG00000143578,direct,
CREM,CREM,ENSG00000095794,direct,
CRISPLD2,CRISPLD2,ENSG00000103196,direct,
CRTAP,CRTAP,ENSG00000170275,direct,
CRX,CRX,ENSG00000105392,direct,
CRY2,CRY2,ENSG00000121671,direct,
CTDSPL2,CTDSPL2,ENSG00000137770,direct,
CTIF,CTIF,ENSG00000134030;ENSG00000282825,direct,
CTNS,CTNS,ENSG00000040531,direct,
CTPS2,CTPS2,ENSG00000047230,direct,
CUL3,CUL3,ENSG00000036257,direct,
CUX1,CUX1,ENSG00000257923,direct,
CYP19A1,CYP19A1,ENSG00000137869,direct,
CYP20A1,CYP20A1,ENSG00000119004,direct,
CYP46A1,CYP46A1,ENSG00000036530,direct,
CYP8B1,CYP8B1,ENSG00000180432,direct,
CYTH3,CYTH3,ENSG00000008256,direct,
DARS2,DARS2,ENSG00000117593,direct,
DAZ1,DAZ1,ENSG00000188120,direct,
DAZ2,DAZ2,ENSG00000205944,direct,
DAZ3,DAZ3,ENSG00000187191,direct,
DAZ4,DAZ4,ENSG00000205916,direct,
DCAF15,DCAF15,ENSG00000132017;ENSG00000288453,direct,
DCAF8,DCAF8,ENSG00000132716,direct,
DCLK3,DCLK3,ENSG00000163673,direct,
DCLRE1B,DCLRE1B,ENSG00000118655,direct,
DCN,DCN,ENSG00000011465,direct,
DCUN1D2,DCUN1D2,ENSG00000150401,direct,
DCUN1D3,DCUN1D3,ENSG00000188215,direct,
DCX,DCX,ENSG00000077279,direct,
DDA1,DDA1,ENSG00000130311,direct,
DDI2,DDI2,ENSG00000197312,direct,
DDX19A,DDX19A,ENSG00000168872,direct,
DDX19B,DDX19B,ENSG00000157349,direct,
DET1,DET1,ENSG00000140543,direct,
DGKE,DGKE,ENSG00000153933,direct,
DGKI,DGKI,ENSG00000157680,direct,
