mirna_id,gene_id,weight
hsa-let-7g,ENSG00000213337,1.0
hsa-let-7i,ENSG00000213337,1.0
hsa-let-7b,ENSG00000186106,1.0
hsa-let-7c,ENSG00000186106,1.0
hsa-let-7d,ENSG00000186106,1.0
hsa-let-7e,ENSG00000186106,1.0
hsa-let-7g,ENSG00000186106,1.0
hsa-let-7i,ENSG00000186106,1.0
hsa-let-7b,ENSG00000168876,1.0
hsa-let-7c,ENSG00000168876,1.0
hsa-let-7d,ENSG00000168876,1.0
hsa-let-7e,ENSG00000168876,1.0
hsa-let-7g,ENSG00000168876,1.0
hsa-let-7i,ENSG00000168876,1.0
hsa-let-7b,ENSG00000139645,1.0
hsa-let-7c,ENSG00000139645,1.0
hsa-let-7d,ENSG00000139645,1.0
hsa-let-7e,ENSG00000139645,1.0
hsa-let-7g,ENSG00000139645,1.0
hsa-let-7i,ENSG00000139645,1.0
hsa-let-7b,ENSG00000143401,1.0
hsa-let-7c,ENSG00000143401,1.0
hsa-let-7d,ENSG00000143401,1.0
hsa-let-7e,ENSG00000143401,1.0
hsa-let-7g,ENSG00000143401,1.0
hsa-let-7i,ENSG00000143401,1.0
hsa-let-7b,ENSG00000185009,1.0
hsa-let-7c,ENSG00000185009,1.0
hsa-let-7d,ENSG00000185009,1.0
hsa-let-7e,ENSG00000185009,1.0
hsa-let-7g,ENSG00000185009,1.0
hsa-let-7i,ENSG00000185009,1.0
hsa-let-7b,ENSG00000163697,1.0
hsa-let-7c,ENSG00000163697,1.0
hsa-let-7d,ENSG00000163697,1.0
hsa-let-7e,ENSG00000163697,1.0
hsa-let-7g,ENSG00000163697,1.0
hsa-let-7i,ENSG00000163697,1.0
hsa-let-7b,ENSG00000117362,1.0
hsa-let-7c,ENSG00000117362,1.0
hsa-let-7d,ENSG00000117362,1.0
hsa-let-7e,ENSG00000117362,1.0
hsa-let-7g,ENSG00000117362,1.0
hsa-let-7i,ENSG00000117362,1.0
hsa-let-7b,ENSG00000155008,1.0
hsa-let-7c,ENSG00000155008,1.0
hsa-let-7d,ENSG00000155008,1.0
